Word                          Rank           Frequency      Rank*Frequency      
partigiani                    523            22             11506               
omete                         524            22             11528               
repubblia                     525            21             11025               
politio                       526            21             11046               
hiamato                       527            21             11067               
avere                         528            21             11088               
fondamentale                  529            21             11109               
forte                         530            21             11130               
proessi                       531            21             11151               
risultato                     532            21             11172               
vittoria                      533            21             11193               
entrale                       534            21             11214               
resa                          535            21             11235               
giorno                        536            21             11256               
funzione                      537            21             11277               
ura                           538            21             11298               
progetti                      539            21             11319               
doppia                        540            21             11340               
idrogeno                      541            21             11361               
elia                          542            21             11382               
biologia                      543            21             11403               
utilizzato                    544            21             11424               
ompletamente                  545            21             11445               
umana                         546            21             11466               
totale                        547            21             11487               
superfiie                     548            21             11508               
ormai                         549            21             11529               
plutone                       550            21             11550               
lui                           551            20             11020               
regime                        552            20             11040               
militari                      553            20             11060               
avrebbe                       554            20             11080               
